coluna,tipo,descricao,valores,preenchidas,vazias
bancos_com_sombra,Ordinal,Sim / Parcial / Não para: bancos com sombra ou proteção climática.,Parcial | Não | Sim,64,2
bancos_com_sombra_ord,Ordinal 0–2,"Codificação de bancos_com_sombra: 0 = Não, 1 = Parcial, 2 = Sim.",1 | 0 | 2,64,2
sinalizacao_inclusiva,Ordinal,"Sim / Parcial / Não para: sinalização adequada para idosos, crianças e pessoas com deficiência.",Não | Parcial | Sim,65,1
sinalizacao_inclusiva_ord,Ordinal 0–2,"Codificação de sinalizacao_inclusiva: 0 = Não, 1 = Parcial, 2 = Sim.",0 | 1 | 2,65,1
existe_parada_transporte,Ordinal,Sim / Parcial / Não para: existência de paradas de transporte público.,Sim | Parcial | Não,65,1
existe_parada_transporte_ord,Ordinal 0–2,"Codificação de existe_parada_transporte: 0 = Não, 1 = Parcial, 2 = Sim.",2 | 1 | 0,65,1
parada_com_protecao_climatica,Ordinal,Sim / Parcial / Não para: paradas de transporte com proteção climática.,Parcial | Não | Sim,66,0
parada_com_protecao_climatica_ord,Ordinal 0–2,"Codificação de parada_com_protecao_climatica: 0 = Não, 1 = Parcial, 2 = Sim.",1 | 0 | 2,66,0
utiliza_mobiliario,Ordinal,Sim / Parcial / Não para: a pessoa utiliza o mobiliário urbano do trecho.,Sim | Não | Parcial,65,1
utiliza_mobiliario_ord,Ordinal 0–2,"Codificação de utiliza_mobiliario: 0 = Não, 1 = Parcial, 2 = Sim.",2 | 0 | 1,65,1
sinalizacao_ajuda_seguranca,Ordinal,Sim / Parcial / Não para: a pessoa acha que a sinalização ajuda a caminhar com segurança.,Sim | Não | Parcial,66,0
sinalizacao_ajuda_seguranca_ord,Ordinal 0–2,"Codificação de sinalizacao_ajuda_seguranca: 0 = Não, 1 = Parcial, 2 = Sim.",2 | 0 | 1,66,0
sensacao_termica,Ordinal,Sensação térmica declarada no momento da entrevista.,Nem frio nem calor | Um pouco de frio | Um pouco de calor | Frio | Muito frio | Calor,66,0
sensacao_termica_escala,Ordinal −3…+3,"Sensação térmica na escala ASHRAE de 7 pontos: −3 muito frio, 0 neutro, +3 muito calor.",0 | -1 | 1 | -2 | -3 | 2,66,0
preferencia_termica,Ordinal,Como preferiria estar se sentindo.,Assim mesmo | Um pouco mais refrescado | Mais aquecido | Um pouco mais aquecido | Mais refrescado | Bem mais aquecido,66,0
preferencia_termica_escala,Ordinal −3…+3,"Preferência térmica: negativo quer se refrescar, 0 assim mesmo, positivo quer se aquecer.",0 | -1 | 2 | 1 | -2 | 3,66,0
conforto_termico,Ordinal,Classificação do conforto térmico do trecho.,Confortável | Um pouco desconfortável | Desconfortável | Muito desconfortável,66,0
conforto_termico_escala,Ordinal 0–3,"0 = confortável, 3 = muito desconfortável. Valores altos significam pior experiência.",0 | 1 | 2 | 3,66,0
percepcao_sol,Categórica,Avaliação do sol no momento da entrevista.,OK | Você prefere mais | Muito sol,66,0
percepcao_vento,Categórica,Avaliação do vento no momento da entrevista.,OK | Pouco vento | Ventoso | Muito vento | Sem vento,66,0
percepcao_umidade,Categórica,Avaliação da umidade no momento da entrevista.,OK | Úmido | Seco | Muito úmido,66,0
confortavel_cond_atmosfericas,Ordinal,Sente-se confortável quanto às condições atmosféricas. 'Mais ou Menos' padronizado para 'Mais ou menos'.,Sim | Mais ou menos | Não,65,1
confortavel_cond_atm_ordem,Ordinal 0–2,"0 = Não, 1 = Mais ou menos, 2 = Sim.",2 | 1 | 0,65,1
idx_infra_fisica,Decimal 1–5,"Índice derivado: média de largura da calçada, pavimentação, espaço livre, faixas, placas, iluminação e estado dos bancos.",mín 1.83 · máx 4.71,66,0
idx_seguranca,Decimal 1–5,Índice derivado: média das notas de segurança de dia e de noite.,mín 1 · máx 5,66,0
idx_acessibilidade,Decimal 1–5,Índice derivado: média das notas de acessibilidade para idosos/PCD e para mulheres com crianças.,mín 1 · máx 5,66,0
nota_caminhabilidade,Inteiro 0–10,Nota geral de caminhabilidade do trecho. Vazio em 1 caso.,mín 2 · máx 10,65,1
obs_tratamento,Texto livre,Registro por linha de toda alteração ou ausência tratada. Vazio = dado íntegro no original.,isolamento da roupa nao informado | temperatura nao informada | bairro padronizado | isolamento da roupa nao informado; nota geral nao informada | situacao_locacional invalida ('Nublado') -> nulo | temperatura 38 -> 28 (erro de digitacao) | temperatura nao informada; isolamento da roupa nao informado,9,57
